DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
0.0000	5.4990	5.8512	5.9480	5.3718	6.5271	4.7940
0.1000	5.5189	5.8758	5.8539	5.3591	6.6319	4.7759
0.2000	5.5157	5.8953	5.8183	5.3496	6.7606	4.7612
0.3000	5.4910	5.9167	5.9195	5.3371	6.8921	4.7430
0.4000	5.4696	5.9478	5.9804	5.3337	7.0274	4.7290
0.5000	5.4847	5.9893	5.9415	5.3270	7.1639	4.7087
0.6000	5.5202	6.0375	5.8566	5.2996	7.3144	4.6726
0.7000	5.5373	6.0868	5.7883	5.2702	7.5081	4.6385
0.8000	5.5221	6.1359	5.8160	5.2549	7.7382	4.6170
0.9000	5.4903	6.1848	5.9115	5.2502	7.9901	4.6012
1.0000	5.4781	6.2368	5.9687	5.2444	8.2384	4.5800
1.1000	5.5013	6.3056	5.9140	5.2201	8.4673	4.5410
1.2000	5.5446	6.3878	5.7844	5.1725	8.6976	4.4840
1.3000	5.5753	6.4657	5.6934	5.1194	8.9660	4.4261
1.4000	5.5766	6.5414	5.7000	5.0774	9.2723	4.3787
1.5000	5.5708	6.6201	5.7789	5.0516	9.6037	4.3429
1.6000	5.5795	6.7141	5.8033	5.0335	9.9513	4.3112
1.7000	5.6188	6.8298	5.7475	5.0101	10.3308	4.2747
1.8000	5.6709	6.9612	5.6699	4.9791	10.7903	4.2360
1.9000	5.7046	7.1005	5.6301	4.9562	11.3547	4.2092
2.0000	5.7189	7.2420	5.6990	4.9435	11.9917	4.1934
2.1000	5.7385	7.3893	5.8093	4.9369	12.6875	4.1850
2.2000	5.7908	7.5473	5.8063	4.9312	13.4615	4.1819
2.3000	5.8828	7.7299	5.7009	4.9128	14.3766	4.1824
2.4000	5.9836	7.9401	5.5774	4.8774	15.4716	4.1936
2.5000	6.0813	8.1586	5.5307	4.8561	16.7889	4.2376
2.6000	6.1884	8.3795	5.5420	4.8790	18.3340	4.3344
2.7000	6.3352	8.6088	5.5229	4.9448	20.0172	4.4915
2.8000	6.5405	8.8605	5.4681	5.0407	21.6715	4.6990
2.9000	6.8075	9.1468	5.4021	5.1406	23.0613	4.9273
3.0000	7.1717	9.4605	5.3962	5.2634	24.1680	5.1800
3.1000	7.6116	9.7973	5.3315	5.4341	24.9302	5.4595
3.2000	8.0874	10.1660	5.3696	5.6467	25.2934	5.7407
3.3000	8.5504	10.5831	5.6163	5.8769	25.3253	6.0019
3.4000	8.9836	11.0682	5.9395	6.1426	25.2226	6.2643
3.5000	9.3831	11.6266	6.2918	6.4302	25.0310	6.5186
3.6000	9.7299	12.2588	6.7368	6.7160	24.7840	6.7512
3.7000	10.0202	12.9644	7.3076	6.9975	24.4906	6.9588
3.8000	10.2742	13.7244	7.9442	7.2888	24.2000	7.1522
3.9000	10.5065	14.4737	8.5446	7.5885	23.9625	7.3412
4.0000	10.7136	15.1838	9.1432	7.8904	23.7867	7.5254
4.1000	10.8810	15.8529	9.8134	8.2018	23.6737	7.7132
4.2000	11.0029	16.4635	10.5000	8.5473	23.6183	7.9156
4.3000	11.1055	17.0108	11.1627	8.9372	23.5543	8.1176
4.4000	11.2074	17.4962	11.7154	9.3656	23.4684	8.3061
4.5000	11.3062	17.9259	12.0616	9.7970	23.3044	8.4677
4.6000	11.4081	18.3102	12.3887	10.2199	23.0731	8.6075
4.7000	11.4907	18.6511	12.6278	10.6677	22.8413	8.7394
4.8000	11.5555	18.9488	12.8166	11.1770	22.5799	8.8604
