DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
0.0000	5.4994	5.8515	5.9476	5.3719	6.5304	4.7925
0.1000	5.5190	5.8754	5.8498	5.3591	6.6346	4.7700
0.2000	5.5154	5.8948	5.8138	5.3502	6.7637	4.7607
0.3000	5.4908	5.9163	5.9190	5.3374	6.8958	4.7384
0.4000	5.4699	5.9473	5.9781	5.3340	7.0301	4.7259
0.5000	5.4848	5.9888	5.9399	5.3265	7.1667	4.7085
0.6000	5.5201	6.0370	5.8558	5.2995	7.3176	4.6690
0.7000	5.5373	6.0864	5.7861	5.2699	7.5104	4.6329
0.8000	5.5223	6.1354	5.8156	5.2543	7.7421	4.6127
0.9000	5.4907	6.1845	5.9107	5.2496	7.9935	4.5991
1.0000	5.4782	6.2364	5.9679	5.2438	8.2428	4.5776
1.1000	5.5014	6.3050	5.9130	5.2192	8.4703	4.5393
1.2000	5.5444	6.3873	5.7815	5.1718	8.7016	4.4823
1.3000	5.5755	6.4663	5.6937	5.1183	8.9701	4.4247
1.4000	5.5768	6.5410	5.6964	5.0765	9.2766	4.3775
1.5000	5.5709	6.6197	5.7806	5.0503	9.6090	4.3409
1.6000	5.5797	6.7136	5.8014	5.0325	9.9562	4.3099
1.7000	5.6187	6.8293	5.7459	5.0083	10.3355	4.2743
1.8000	5.6708	6.9608	5.6693	4.9778	10.7977	4.2336
1.9000	5.7047	7.1001	5.6274	4.9543	11.3611	4.2085
2.0000	5.7191	7.2416	5.6979	4.9415	12.0011	4.1931
2.1000	5.7386	7.3889	5.8107	4.9346	12.6958	4.1834
2.2000	5.7906	7.5470	5.8030	4.9287	13.4700	4.1816
2.3000	5.8824	7.7293	5.7007	4.9098	14.3867	4.1822
2.4000	5.9833	7.9398	5.5739	4.8745	15.4800	4.1930
2.5000	6.0809	8.1583	5.5308	4.8536	16.7975	4.2378
2.6000	6.1879	8.3792	5.5416	4.8764	18.3437	4.3346
2.7000	6.3346	8.6086	5.5204	4.9426	20.0274	4.4923
2.8000	6.5398	8.8605	5.4680	5.0385	21.6821	4.6992
2.9000	6.8072	9.1468	5.4007	5.1390	23.0693	4.9283
3.0000	7.1716	9.4608	5.3945	5.2621	24.1700	5.1835
3.1000	7.6114	9.7978	5.3301	5.4335	24.9319	5.4635
3.2000	8.0877	10.1667	5.3692	5.6459	25.2938	5.7455
3.3000	8.5508	10.5840	5.6162	5.8765	25.3261	6.0067
3.4000	8.9832	11.0694	5.9403	6.1421	25.2219	6.2702
3.5000	9.3826	11.6279	6.2911	6.4305	25.0312	6.5247
3.6000	9.7299	12.2603	6.7373	6.7170	24.7829	6.7578
3.7000	10.0200	12.9659	7.3071	6.9982	24.4897	6.9650
3.8000	10.2741	13.7243	7.9476	7.2893	24.1994	7.1585
3.9000	10.5060	14.4760	8.5458	7.5891	23.9627	7.3472
4.0000	10.7129	15.1861	9.1424	7.8903	23.7858	7.5325
4.1000	10.8804	15.8548	9.8164	8.2022	23.6748	7.7190
4.2000	11.0024	16.4650	10.5026	8.5466	23.6188	7.9215
4.3000	11.1047	17.0122	11.1626	8.9363	23.5580	8.1218
4.4000	11.2065	17.4950	11.7231	9.3645	23.4747	8.3099
4.5000	11.3054	17.9257	12.0572	9.7944	23.3073	8.4719
4.6000	11.4073	18.3098	12.3945	10.2173	23.0786	8.6104
4.7000	11.4901	18.6506	12.6302	10.6651	22.8479	8.7424
4.8000	11.5549	18.9488	12.8149	11.1736	22.5838	8.8639
4.9000	11.6233	19.2104	13.0880	11.7376	22.2630	8.9515
5.0000	11.6869	19.4587	13.1617	12.3778	21.9364	9.0343
5.1000	11.7462	19.7023	13.1306	13.1136	21.6240	9.1332
5.2000	11.7885	19.9358	13.2198	13.8967	21.2674	9.2328
5.3000	11.8078	20.1460	13.4084	14.6902	20.8787	9.3369
5.4000	11.8260	20.3363	13.5955	15.4628	20.5064	9.4500
5.5000	11.8471	20.5107	13.6279	16.1953	20.1149	9.5617
5.6000	11.8706	20.6518	13.6517	16.8451	19.6572	9.6538
5.7000	11.8881	20.7698	13.7680	17.3956	19.1418	9.7446
5.8000	11.8902	20.8600	13.8087	17.8858	18.5956	9.8609
5.9000	11.8910	20.8969	13.8978	18.3293	17.9911	9.9898
6.0000	11.8924	20.8913	13.9858	18.7198	17.3418	10.1108
6.1000	11.8931	20.8668	14.0043	19.0814	16.6660	10.2464
6.2000	11.8907	20.8309	13.9877	19.4082	15.9164	10.3974
6.3000	11.8785	20.7757	14.0500	19.7039	15.1599	10.5848
6.4000	11.8511	20.6862	14.1441	20.0306	14.4866	10.8248
6.5000	11.8113	20.5626	14.2793	20.4105	13.9213	11.1196
6.6000	11.7611	20.3913	14.4158	20.8183	13.4534	11.4454
6.7000	11.7075	20.1774	14.5796	21.2138	13.0390	11.8028
